type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
PAYMENT,19801.32,C1132260069,774907.94,755106.62,M367665378,0,0,0
CASH_OUT,252223.88,C1162952524,0,0,C2122200303,903355.76,1003439.91,0
CASH_OUT,651963.64,C799358396,0,0,C237988421,1068510.41,1720474.04,0
TRANSFER,704940,C354943856,21293,0,C849689177,53442.1,624094.23,0
CASH_OUT,1486.36,C852638486,0,0,C2011904058,139182.35,140668.7,0
PAYMENT,16012.35,C1585781830,1297033.84,1281021.49,M640066739,0,0,0
TRANSFER,1959224.32,C13377673,283941.83,0,C382329720,2035.45,1961259.77,0
CASH_OUT,279502.48,C1677834404,26373,0,C1937962514,990420.69,1581311.49,0
TRANSFER,457227.63,C925842661,449250.7,0,C465257140,1304185.86,1761413.49,0
CASH_OUT,290668.34,C1282372255,0,0,C2036368507,306852.38,597520.72,0
CASH_OUT,246683.5,C2104277384,0,0,C1380361139,254450.54,501134.04,0
CASH_IN,225618.99,C1124545257,2534482.75,2760101.75,C1495761010,2194795.59,1969176.6,0
PAYMENT,6027.79,C791780515,60056.82,54029.04,M692250571,0,0,0
PAYMENT,13264.59,C905484464,0,0,M2124035511,0,0,0
CASH_OUT,254159.14,C2104417137,0,0,C77635419,0,14649.92,0
CASH_IN,127409.64,C664129315,12350219.43,12477629.07,C1538264524,821795.03,1261284.59,0
CASH_OUT,259866.75,C265990074,134,0,C1045368778,56267,748434.02,0
PAYMENT,5903.88,C322634734,380,0,M545170108,0,0,0
PAYMENT,21678.07,C2093472831,1061200.49,1039522.42,M607605630,0,0,0
CASH_IN,16068.46,C1819036880,829622.76,845691.23,C1261309973,166023.49,242599.71,0
CASH_OUT,494794.15,C882447078,319352.19,0,C1508456612,7901653.9,8510493.07,0
TRANSFER,866364.56,C1612165277,1713718.4,847353.84,C1521704415,40432,793275.21,0
TRANSFER,282718.27,C553889268,0,0,C1535686985,752396,859932.75,0
CASH_OUT,14649.92,C1875273568,31319,16669.08,C77635419,0,14649.92,0
PAYMENT,8039.55,C2026333765,237360.81,229321.26,M1920629802,0,0,0
CASH_OUT,282062.54,C1442761187,0,0,C705480294,535323.06,779247,0
CASH_IN,96903.21,C966485150,11226713.83,11323617.05,C1455826282,101780.93,4877.71,0
CASH_OUT,225144.13,C1920720147,155977,0,C443625234,467131.8,532588.8,0
PAYMENT,4476.37,C28843605,40662,36185.63,M2029684092,0,0,0
CASH_OUT,620558.19,C1368862213,0,0,C1321640594,1042403.4,1662961.59,0
PAYMENT,17163.97,C2136579688,7802.56,0,M1707684843,0,0,0
CASH_IN,263282.13,C1682305535,3841629.52,4104911.65,C1200314947,994391.7,935443.1,0
PAYMENT,9625.87,C1184158371,0,0,M210209914,0,0,0
CASH_OUT,102195.09,C2010430920,0,0,C460599381,180482.41,0,0
PAYMENT,13503.26,C899722894,0,0,M683996528,0,0,0
PAYMENT,10410.34,C1390969620,20925,10514.66,M393204555,0,0,0
CASH_OUT,184066.79,C1082019834,0,0,C1160440440,226480.7,410547.49,0
CASH_IN,86491.31,C639412292,9931,96422.31,C1424731356,0,1657273.86,0
PAYMENT,7566.12,C1370087746,0,0,M968492511,0,0,0
CASH_IN,112525.95,C1760702907,10249798.56,10362324.51,C193946880,170631.26,1231618.63,0
PAYMENT,29061.1,C318783797,418913.52,389852.42,M26548337,0,0,0
PAYMENT,12165.99,C1817560292,99539,87373.01,M1232170205,0,0,0
TRANSFER,464736.17,C1243658148,0,0,C2032924554,7706677.17,8171413.33,0
CASH_OUT,1920.36,C1075719586,52764,50843.64,C79708552,1444442.77,1446363.13,0
CASH_IN,159455.57,C1812277040,10369214.76,10528670.33,C769696711,1864251.28,2535941.24,0
CASH_IN,67013.99,C1998959095,1644725.05,1711739.04,C101179743,130543,63529.01,0
CASH_IN,274907.79,C1634197934,14290,289197.79,C2144240673,0,0,0
CASH_IN,335272.08,C309966107,61918,397190.08,C1543776659,53453,0,0
PAYMENT,20112.56,C276929056,26073.29,5960.73,M642603278,0,0,0
CASH_OUT,94954.32,C387967599,0,0,C42229675,304380.11,399334.43,0
CASH_OUT,347742.33,C258714691,0,0,C1894207825,1189864.54,1778489.65,0
CASH_OUT,166855.19,C1330926603,0,0,C2107268831,543907.65,710762.84,0
TRANSFER,405806.27,C1264159736,0,0,C1432492263,989011.32,1394817.58,0
CASH_OUT,77333.36,C1308672267,0,0,C1160905868,95544.34,172877.7,0
TRANSFER,557323.36,C1268298798,11898,0,C522173599,0,557323.36,0
PAYMENT,41538.89,C1670762184,25670,0,M2109366235,0,0,0
PAYMENT,37132.64,C1879978236,38,0,M279355584,0,0,0
CASH_IN,68975.68,C732858513,1467137.13,1536112.81,C1610505085,439334.85,370359.17,0
CASH_IN,512799.59,C428848344,9149420.02,9662219.61,C1124597091,1337133.48,824333.89,0
PAYMENT,16311.13,C76970345,0,0,M313520276,0,0,0
PAYMENT,2847,C648106330,3233,386,M2048465645,0,0,0
TRANSFER,1771808.31,C1743337844,70953,0,C459172227,3214496.34,6270312.93,0
PAYMENT,746.48,C377208821,52710.31,51963.83,M354003325,0,0,0
TRANSFER,140313.17,C250808848,0,0,C1195194841,417042.4,2257978.71,0
CASH_OUT,312277.45,C527924339,7039,0,C394530319,5839,4758.03,0
PAYMENT,3244.34,C1217225242,0,0,M832425425,0,0,0
CASH_IN,214963.72,C886001478,2421514.85,2636478.56,C517284908,517144.01,2420348.29,0
CASH_IN,326614.54,C394067073,269924.71,596539.25,C727708879,61914,0,0
CASH_IN,220881.33,C1001674053,7184661.2,7405542.53,C2084129621,1899037.34,2848974.81,0
CASH_IN,109425.22,C341053127,9277054.29,9386479.51,C1910163007,444321.07,839275.37,0
CASH_OUT,109838.04,C1556351947,63930,0,C514268168,1630253.02,3735377.05,0
CASH_OUT,150994.55,C1628664189,27024,0,C1825316952,11544,3194557.06,0
CASH_OUT,85552.72,C384355839,242,0,C50074082,926,86478.72,0
CASH_OUT,164298.12,C1894000961,5048,0,C1319649172,12520,3341651.92,0
PAYMENT,18579.86,C1180030274,13849.45,0,M1021320311,0,0,0
TRANSFER,650086.87,C787214671,0,0,C1320515149,5415258.58,5405558.3,0
PAYMENT,13601.63,C1061982279,5514,0,M2122399111,0,0,0
CASH_OUT,213779.84,C1140338446,1001,0,C1107367383,12690,0,0
CASH_OUT,107491.19,C834539551,0,0,C1856125320,259748,94723.93,0
CASH_OUT,214654.29,C601198750,20346,0,C1733866787,0,214654.29,0
CASH_OUT,58157.96,C1969215454,110340,52182.04,C1318650648,503418.27,22682.93,0
PAYMENT,1984.25,C643571546,694651.33,692667.08,M429205586,0,0,0
PAYMENT,8624.56,C987775104,1659,0,M107666961,0,0,0
PAYMENT,3877.85,C55757422,0,0,M1245738889,0,0,0
PAYMENT,3067.56,C1727049831,0,0,M2004361848,0,0,0
CASH_IN,43826.91,C1818089421,10929,54755.91,C814436801,7065,0,0
TRANSFER,356151.15,C1698765670,0,0,C1575652054,1046888.04,2897581.7,0
CASH_IN,101130.76,C140256407,3001177.23,3102308,C370428315,769258.35,637557.57,0
CASH_IN,40265.7,C1640698547,2019509.97,2059775.67,C541307861,165917.08,544887.64,0
PAYMENT,3125.53,C751862894,215364.01,212238.48,M1627656722,0,0,0
TRANSFER,1528051.16,C1137365442,67134,0,C691404076,324.52,1330731.17,0
DEBIT,3922.54,C82295230,207549,203626.46,C2100147068,300854.65,380283.16,0
CASH_OUT,296326.2,C780337113,0,0,C1723463463,872221.92,1122627.29,0
CASH_OUT,42362.95,C457436514,0,0,C499052031,61997.79,104360.74,0
TRANSFER,131681.46,C2131189855,0,0,C224551757,742185.25,1108819.62,0
CASH_OUT,7675.71,C333180073,0,0,C297924141,2253415.25,2503307.01,0
PAYMENT,10513.86,C813703875,66397.79,55883.93,M1603657088,0,0,0
CASH_IN,282247.25,C860254458,0,282247.25,C660819982,1583981.93,3368326.56,0
CASH_OUT,317872.6,C370726255,25394.68,0,C150738768,1351195,2327010.33,0
PAYMENT,16899.96,C931388050,0,0,M940651449,0,0,0
CASH_OUT,599793.55,C514753074,386071.2,0,C356023140,27616136.42,28309318.32,0
PAYMENT,2048.71,C50444794,44322,42273.29,M1753976976,0,0,0
CASH_IN,270575.8,C1690425378,0,270575.8,C1330106945,17303.52,48660.79,0
CASH_IN,56660.39,C1217670186,6506174.98,6562835.37,C111391237,481009.36,636451,0
CASH_IN,70809.55,C1922452318,1619375.5,1690185.06,C1649284980,205546.45,595503.98,0
CASH_IN,55018.94,C1680572665,2842339.49,2897358.43,C1933191609,200545.3,145526.36,0
CASH_IN,65881.37,C1318790374,13946749.56,14012630.93,C1038715421,106884,41002.63,0
CASH_OUT,531836.16,C991774731,5564,0,C276448939,445179.58,1126261.12,0
CASH_OUT,71139.64,C1493422324,16568,0,C21781546,20139,323171.88,0
PAYMENT,20298.91,C977609434,102273,81974.09,M159831551,0,0,0
CASH_IN,476898,C1154494530,11857422.4,12334320.4,C692721554,618440.89,117116.4,0
PAYMENT,2205.07,C712055015,0,0,M1521856297,0,0,0
CASH_IN,96903.91,C2120958594,14018533.74,14115437.65,C1838303932,3754235.38,2926613.59,0
CASH_OUT,39731.61,C1236148095,40137,405.39,C1360670846,0,39731.61,0
PAYMENT,3737.79,C466030341,0,0,M1629975809,0,0,0
CASH_IN,153542.39,C14586157,46519,200061.39,C1890258988,1865355.1,1711812.71,0
CASH_IN,179539.12,C424783298,2409583.8,2589122.92,C978858794,206173.83,26634.72,0
CASH_IN,555777.75,C954265783,9623777.44,10179555.19,C441398584,7004115.57,6251716.45,0
PAYMENT,13618.32,C845372674,548733.56,535115.24,M254187734,0,0,0
CASH_IN,166359.26,C1059686763,6586741.01,6753100.28,C1186819207,1256475.66,1651625.76,0
PAYMENT,48310.53,C274636957,400114,351803.47,M188655755,0,0,0
DEBIT,5867.09,C588355691,5026,0,C1632131692,256702.12,542681.41,0
CASH_OUT,213733.83,C1295972996,0,0,C769342184,20488040.8,20309687.62,0
CASH_IN,19885.84,C1062286409,18376203.51,18396089.35,C899112471,51912,0,0
CASH_OUT,166371.91,C240588872,0,0,C1152378087,857123.55,950562.1,0
CASH_IN,40722.78,C495321350,53084,93806.78,C764856521,68922,28199.22,0
TRANSFER,145548.12,C1571492615,0,0,C1281580764,209806.61,445922.14,0
CASH_OUT,95813.77,C1291778836,0,0,C2020576466,362457.28,521913.04,0
CASH_IN,358632.19,C83969675,179,358811.19,C817623730,0,0,0
CASH_IN,277875.78,C172177466,5272935,5550810.78,C1379289710,2449950.72,3212032.09,0
CASH_OUT,246166.73,C1383059243,1272,0,C1431097086,26162.78,385010.41,0
CASH_IN,158429.53,C1000183504,5819724.36,5978153.89,C1833549064,277875.93,257730.09,0
CASH_IN,257069.84,C883121180,2398463.58,2655533.41,C662267010,1633817.89,1804380.96,0
CASH_OUT,95630.72,C1337021849,0,0,C1337306552,265274.5,0,0
CASH_OUT,449632.44,C1017064847,3108,0,C754244871,10246605.81,11326357.48,0
CASH_OUT,159721.23,C1278968094,0,0,C280226418,295405.49,329235.63,0
CASH_OUT,239083.86,C2047458836,46409,0,C1476733212,0,286998.74,0
PAYMENT,7248.22,C48236325,158672,151423.78,M888929084,0,0,0
CASH_OUT,10279.13,C1853103467,0,0,C726025092,1546764.37,1364209.26,0
TRANSFER,127697.63,C758144276,0,0,C1471687261,663452.34,1008487.6,0
TRANSFER,378528.03,C1257124793,10077,0,C1108635930,569,840016.61,0
CASH_OUT,479243.07,C466168056,785790.31,306547.24,C73851048,98391.34,210432.5,0
CASH_IN,268043.26,C2063394263,5616980.01,5885023.27,C1551604541,625062.3,1193328.85,0
CASH_IN,4004.1,C226660177,6533675.08,6537679.18,C1880555726,10428,0,0
CASH_OUT,150963,C1559830748,204076,53113,C166752075,11473,450522.64,0
TRANSFER,1880304.16,C1323279351,291544.29,0,C85396628,0,1793495.13,0
CASH_OUT,79400.75,C299148390,0,0,C105198636,0,79400.75,0
TRANSFER,1080066.05,C1034152726,50914,0,C525447900,4615,1427456.96,0
CASH_OUT,341843.84,C1295663834,0,0,C713039134,1101408.42,1373656.47,0
PAYMENT,15205.34,C452110778,201490,186284.66,M749923446,0,0,0
PAYMENT,316.16,C1718974752,310766.57,310450.4,M1819038052,0,0,0
CASH_IN,35586.68,C895073946,6457131.73,6492718.41,C1891996193,3383590.58,3867308.72,0
CASH_IN,109083.63,C883191334,1009891.55,1118975.18,C152764681,663049.86,553966.23,0
CASH_OUT,150993.84,C912416994,0,0,C1523624409,231666.73,78821.78,0
TRANSFER,70652.15,C76906384,205012,134359.85,C1962165946,1610142.8,1680794.95,0
CASH_IN,179414.08,C534716165,10956,190370.08,C905062857,0,0,0
CASH_IN,315896.74,C1348044173,15742392.47,16058289.21,C1560501002,529354.06,126130.91,0
PAYMENT,2919.93,C1731429225,20534,17614.07,M1582081785,0,0,0
CASH_OUT,405652.68,C1675048031,27396.74,0,C2029518292,550795.79,271257.69,0
CASH_IN,170210.05,C1049196048,7011496.57,7181706.62,C1671657651,313851.45,143641.39,0
CASH_IN,47314.63,C1814756800,6288613.91,6335928.54,C1939372551,83501.65,199660.86,0
CASH_IN,55609.31,C1547018033,5448150.47,5503759.79,C214974969,559065.23,1070833.81,0
CASH_OUT,446317.06,C778757669,0,0,C1821667317,461102.16,1401027.61,0
PAYMENT,22498.67,C519785914,142079.43,119580.76,M1209559099,0,0,0
CASH_IN,188444.5,C1072053038,4570533.84,4758978.34,C496999581,516563.38,328118.88,0
CASH_IN,101147.82,C1701540648,7318070.44,7419218.26,C1997221282,364981.28,9774498.5,0
PAYMENT,21416.97,C516194765,12295,0,M888376180,0,0,0
PAYMENT,1129.22,C826656100,0,0,M616911657,0,0,0
CASH_IN,412505.21,C1496423840,7830991.34,8243496.55,C234686306,1642371.09,4742942.01,0
CASH_OUT,371371.94,C736591680,116444.77,0,C2124288420,121282.61,1022201.97,0
TRANSFER,646880.66,C1707423342,50694,0,C1208702024,679551.73,1281819.31,0
CASH_OUT,105118.85,C1648924789,10417,0,C1292838001,308129.11,413247.96,0
CASH_IN,44933.82,C95632212,14063479.4,14108413.22,C106616382,558248.6,513314.79,0
PAYMENT,33059.68,C1181276472,0,0,M1207575644,0,0,0
CASH_OUT,370095.54,C1044160456,0,0,C1657769946,3358174.67,3838968.04,0
TRANSFER,1707994.81,C331035296,254699.56,0,C639015907,2451955.32,4207743.78,0
CASH_OUT,595825.97,C1745291626,549632.48,0,C1214687061,0,744929.24,0
CASH_OUT,407275.3,C410457240,11365.98,0,C1738132973,2921273.99,3589134.25,0
CASH_IN,275203.42,C554028922,503450.89,778654.31,C1679416916,280089.37,4885.95,0
PAYMENT,2098.09,C746157631,1127659.18,1125561.09,M1787335858,0,0,0
CASH_OUT,88165.56,C780562429,0,0,C1911624558,425878.58,0,0
CASH_OUT,66452.71,C436443791,458925.5,392472.79,C1353625561,0,0,0
CASH_OUT,150303.89,C1994077128,0,0,C1102319340,16079856.82,16230160.71,0
PAYMENT,1985.79,C1940728518,3507705.62,3505719.84,M243031783,0,0,0
CASH_OUT,190080.5,C1288366282,0,0,C783654411,1923208.04,2113288.54,0
PAYMENT,13157.87,C1184930151,54624.57,41466.71,M1135638880,0,0,0
PAYMENT,12794.96,C1965696472,1642048.29,1629253.32,M1139154323,0,0,0
CASH_OUT,484647.18,C1411860522,0,0,C827915728,1312631.4,1797278.58,0
CASH_OUT,97699.63,C1966021664,2071,0,C2075066366,0,97699.63,0
PAYMENT,10552.27,C1621100883,27815,17262.73,M805443242,0,0,0
CASH_IN,100759.68,C521672081,202306,303065.68,C1261329785,0,40096.05,0
CASH_OUT,111770.08,C1008689646,0,0,C657411220,843491.15,955261.22,0
TRANSFER,497725.93,C1709295811,0,0,C201995133,1033478.64,1531204.57,0
PAYMENT,4904.38,C154747474,22366,17461.62,M2054275771,0,0,0
CASH_OUT,143589.14,C1086284447,230933.08,87343.94,C1125272190,0,143589.14,0
PAYMENT,19932.03,C510141947,21106,1173.97,M252375957,0,0,0
PAYMENT,19265.07,C1753355299,103718,84452.93,M1124382257,0,0,0
PAYMENT,11240.69,C610632319,188307,177066.31,M1758753425,0,0,0
CASH_OUT,290801.71,C727885158,0,0,C1149273771,7200054.26,7740935.23,0
CASH_IN,204241.34,C971896252,5545216.36,5749457.7,C716083600,18749588.18,19124887.43,0
CASH_OUT,623607.92,C72421716,82125,0,C505722754,112,469714.11,0
CASH_IN,11600.66,C56332807,189600.92,201201.58,C873493571,2691,0,0
PAYMENT,4332.88,C526867236,0,0,M250730804,0,0,0
PAYMENT,3757.83,C2063264579,10802,7044.17,M312995949,0,0,0
PAYMENT,14647.09,C684118100,327,0,M652080221,0,0,0
TRANSFER,1279481.22,C1531800250,111197.34,0,C286244216,1662832.98,2584799.98,0
TRANSFER,951086.8,C938456850,801562.26,0,C767544292,1447340.41,2753755.78,0
PAYMENT,865.65,C543200385,10023,9157.35,M363169226,0,0,0
PAYMENT,5327.84,C2036510115,7048.11,1720.27,M924517234,0,0,0
CASH_OUT,463327.28,C1987614588,0,0,C483817115,13098795.73,13397563.63,0
PAYMENT,28544.42,C1596500818,103952.63,75408.21,M1856585197,0,0,0
PAYMENT,23313.67,C12393536,0,0,M384666759,0,0,0
CASH_OUT,147665.42,C1443901239,607423.2,459757.79,C206007851,257359.9,623353.98,0
CASH_IN,57396.15,C891589448,382449.95,439846.1,C242559404,1536832.58,1479436.43,0
CASH_OUT,119908.87,C1346431587,0,0,C1859125434,455659.04,809395.25,0
CASH_OUT,38678.75,C1472990234,154070.12,115391.37,C1593205631,183072.25,18384.89,0
TRANSFER,1211383.87,C1130146367,0,0,C776817954,4107367.17,5437620.4,0
CASH_OUT,254163.59,C2125563256,736213.93,482050.34,C1916720513,19061997.83,19162483.41,0
CASH_IN,22121.61,C153092517,7821098.64,7843220.26,C2038949354,787382.41,1134096.92,0
PAYMENT,5249.17,C1359863125,280975.29,275726.13,M1547002997,0,0,0
PAYMENT,31890.65,C1978320697,1132254.72,1100364.08,M659003363,0,0,0
PAYMENT,7977.64,C1097894201,54326.56,46348.92,M1918146834,0,0,0
CASH_OUT,60424.3,C1128568584,33189,0,C1721032767,0,0,0
CASH_OUT,174602.38,C207165083,0,0,C2004947954,214260.01,298241.52,0
PAYMENT,36.24,C1639869183,484604.92,484568.68,M1422556717,0,0,0
CASH_OUT,27940.91,C1657836394,0,0,C1776339118,284618.34,244859.75,0
CASH_OUT,154265.21,C1414328198,0,0,C1641587857,753346.38,1561738.48,0
PAYMENT,24227.41,C831481044,113942,89714.59,M504558433,0,0,0
PAYMENT,6994.28,C538254952,0,0,M109694857,0,0,0
PAYMENT,18598.24,C908605073,0,0,M2025938251,0,0,0
CASH_IN,133273.51,C635358726,1696080.98,1829354.49,C599893207,2527477.85,2911228.45,0
CASH_OUT,230548.22,C1913437938,93473.12,0,C25537313,1002754.79,981324.87,0
PAYMENT,12613.07,C556950730,0,0,M1270746849,0,0,0
PAYMENT,15524.94,C1079484584,29934,14409.06,M720202880,0,0,0
CASH_OUT,589588.29,C462941277,6127,0,C98652100,212562.92,1302321.64,0
PAYMENT,3307.96,C1432794752,0,0,M1935835844,0,0,0
CASH_IN,90183.11,C685625793,743431.1,833614.2,C1321580386,220223,170210.79,0
CASH_OUT,436475.62,C934447826,0,0,C1584058167,757576.09,1242617.37,0
CASH_OUT,226816.9,C1937041428,0,0,C1517552713,779577.14,1006394.04,0
CASH_OUT,143537.89,C1758592369,22320,0,C869250462,379447.08,532704.65,0
CASH_OUT,150291.8,C1634150760,19477,0,C957705094,12098.08,162389.88,0
CASH_OUT,170818.41,C1430487285,0,0,C424648779,2739288.04,3370379.69,0
PAYMENT,4120.43,C427571210,503480,499359.57,M27040152,0,0,0
PAYMENT,29821.95,C299137273,69395,39573.05,M213389780,0,0,0
CASH_IN,71898,C2065554459,83499,155397,C1477468183,959822.11,887924.11,0
CASH_OUT,169548.31,C444890374,0,0,C334002770,992833.96,1465080.69,0
PAYMENT,2768.5,C1928492986,0,0,M2061942569,0,0,0
TRANSFER,217109.52,C442237772,0,0,C523344491,239488.06,284598.62,0
CASH_OUT,611612.26,C486358606,10563,0,C1238799465,42367.13,653979.4,0
CASH_OUT,268791.69,C1804849718,0,0,C60296041,270300.5,539092.19,0
PAYMENT,15191.06,C924027441,99755,84563.94,M587153489,0,0,0
CASH_IN,255886.11,C1872335974,19158,275044.11,C1908986666,78374.44,0,0
CASH_OUT,439735.43,C1282100373,0,0,C1006094903,702263.69,1141999.11,0
CASH_OUT,23923.3,C1787192936,0,0,C1688071442,1219143.79,1243067.09,0
CASH_OUT,405090.9,C1050706045,122231,0,C1102715869,2462818.74,2950195.68,0
CASH_OUT,129417.76,C71145399,0,0,C921733929,2304870.1,3496735.46,0
PAYMENT,14891.2,C309997203,0,0,M1225218239,0,0,0
CASH_IN,154685.83,C431655622,5597223.24,5751909.06,C810886151,956936.68,802250.85,0
CASH_IN,277202.02,C1466651579,5893885.16,6171087.18,C269065934,533847.92,256645.91,0
CASH_IN,88288.63,C616263153,10793980.13,10882268.76,C2107268831,986416.3,898127.67,0
PAYMENT,620.77,C1557813248,209440,208819.23,M901104951,0,0,0
PAYMENT,19147.62,C1647276567,65471.71,46324.09,M172052425,0,0,0
PAYMENT,9701.45,C685668025,0,0,M1514615291,0,0,0
CASH_IN,15860.39,C734700930,1131995.99,1147856.38,C596208452,94753.21,78892.82,0
PAYMENT,20832.94,C577978996,0,0,M1817264377,0,0,0
PAYMENT,10512.55,C195902966,116212.57,105700.02,M950032265,0,0,0
CASH_OUT,102619.66,C1527480387,0,0,C1241827956,156103.96,258723.62,0
PAYMENT,8359.75,C941890644,546876.11,538516.36,M837652368,0,0,0
PAYMENT,7234.64,C1793050790,403388.96,396154.31,M871187509,0,0,0
CASH_IN,62510.86,C1868071745,10944134.6,11006645.46,C2107476765,8958426.15,8895915.29,0
CASH_OUT,277802.31,C1325526585,304851,27048.69,C909208243,0,471895.85,0
CASH_OUT,336365.5,C980936327,20974,0,C827515142,0,175318.78,0
CASH_OUT,274830.25,C1238937495,0,0,C708718126,2566329.42,3040018,0
TRANSFER,835470.6,C662572413,15096,0,C1331028012,837736.54,2184978.6,0
PAYMENT,21631.98,C1942644216,0,0,M1309366643,0,0,0
CASH_OUT,143316.21,C965104342,0,0,C486108916,2367995.25,2511311.46,0
CASH_IN,235574.29,C677970859,3611619.9,3847194.19,C778507995,1102406.93,807813.48,0
PAYMENT,33048.35,C1480473529,10669,0,M589715440,0,0,0
PAYMENT,25035.39,C1552759476,3825657.08,3800621.69,M2019944143,0,0,0
CASH_OUT,298516.13,C852760378,197773,0,C1344549008,28341,93520.27,0
CASH_OUT,29123.05,C900871006,0,0,C1813922009,681921.41,1188462.28,0
TRANSFER,293265.86,C460883922,1504749.55,1211483.69,C2143998843,197249.42,429352.11,0
CASH_OUT,620721.87,C1896137283,15959.58,0,C1323741703,5395977.69,6419373.44,0
PAYMENT,5517.67,C2107237046,0,0,M472548936,0,0,0
CASH_IN,245583.08,C1611776161,2086863.8,2332446.88,C487665087,339278.15,93695.07,0
CASH_OUT,22437.37,C106471619,0,0,C970036466,418736.7,609293.74,0
PAYMENT,4360.5,C739065064,51780,47419.5,M1870471865,0,0,0
CASH_OUT,40011.99,C1459378189,59809,19797.01,C1616930619,516832.89,556844.88,0
PAYMENT,10963.65,C1860713958,37031,26067.35,M1564226341,0,0,0
CASH_OUT,163485.31,C943712409,0,0,C1034339016,1090803.16,1469802.61,0
